текст доната или ссылка,ко-во заказанных минут,Название видео,где смотреть,Сумма доната,"Очередь:
1-25р/мин
2-50р/мин
3(четверная)-100р/мин
4(восьмеричная)-200р/мин",кол-во заказанных минут
https://www.youtube.com/watch?v=n2bQ1U8ra6g,видео недоступно,САКРАМАР VS АЛЕКСАНДР КАРГИН. ДЕБАТЫ - СУЩЕСТВУЮТ ЛИ РУССКОЕ ИСКУССТВО И КУЛЬТУРА,unkown,200,1,8
https://www.youtube.com/watch?v=IpbnV19B-vY,,Штурм окружной тюрьмы,Youtube,100,1,4
https://www.youtube.com/watch?v=o6qH1Yy-GUg,,TEDxRotterdam - Harry Merry - Music performance,Goodgame,100,1,4
https://www.youtube.com/watch?v=gKitTn6xc0A,,Человек-шокер. Анатолий Ульянов: «Геи возбуждают консерваторов»,Goodgame,100,1,4
https://www.youtube.com/watch?v=usGbANDBwVc,,МЫ — Лучший Хоррор Года?,Youtube,200,1,8
https://www.youtube.com/watch?v=MCT-ACqBFhE,,Рождение личности,Youtube,100,1,4
https://www.youtube.com/watch?v=dxkIqMmA2H4,,John Maus - Outer Space,Goodgame,101,1,4
https://www.youtube.com/watch?v=EuWmdj6MzeM,,Русский Куколд - Русички и Турки,Goodgame,100,1,4
https://www.youtube.com/watch?v=kVJ1I_omkuo,,Я карта 10 часов - запись канала Nickerpodeon 02.08.2011,Goodgame,200,1,8
https://www.youtube.com/watch?v=BY9v5jOr4BY,,,Goodgame,394.35,1,15
https://www.youtube.com/watch?v=Uz9ccZxdb5Q,,,Goodgame,175,1,7
https://www.youtube.com/watch?v=I8qaH58bcSA,,,Goodgame,225,1,9
https://www.youtube.com/watch?v=moapswtUVh0, с 1:30,,Goodgame,100,1,4
https://www.youtube.com/watch?v=D8H8C5ib2Kk,,,Goodgame,150,1,6
https://www.youtube.com/watch?v=dkNfNR1WYMY,,,Goodgame,800,1,32
https://www.youtube.com/watch?v=YAF3IRvwFmU,,,Youtube,100,1,4
https://youtu.be/_U8LpIK8KjE,на 2:20 нехорошие слова,,Youtube,136.19,1,5
https://youtu.be/0bwqUGMmBMY,,,Youtube,100,1,4
https://youtu.be/sUfktBqi6Dg,,,Youtube,300,1,12
https://youtu.be/viaDGF5TI6c,,,Youtube,125,1,5
https://youtu.be/LAZENPr9bRM,,,Youtube,100,1,4
https://youtu.be/dEv23IWqslc,,,Youtube,250,1,10
https://youtu.be/l3FUhq5g8c0,,,Youtube,100,1,4
https://youtu.be/DNpp-AacOcQ,,,Youtube,101,1,4
https://youtu.be/6EEuIwRIk3I,,,Youtube,125,1,5
https://youtu.be/yYjXpyEq4Ao,,,Goodgame,635,1,25
https://youtu.be/LF5C8lIRyEk,1:35,,Youtube,100,1,4
https://youtu.be/K0QRV2MwdZg,,,Youtube,400,1,16
https://youtu.be/qXUOQYK6RHA,,,Youtube,625,1,25
https://youtu.be/FqV-LyhduSM,,,Youtube,425,1,17
https://youtu.be/aFNMtkmB28c,,,Youtube,100,1,4
https://youtu.be/gMRf1XEAIo0,Определение из гугла,,Youtube,1900,1,76
https://youtu.be/21GGIoRKHvo,,,Youtube,50,1,2
https://youtu.be/lTetM56amXk,,,Goodgame,100,1,4
https://youtu.be/EVBWlqKZSGc,,,Youtube,100,1,4
https://youtu.be/nKUQP3DsCQQ,,,Youtube,100,1,4
https://youtu.be/i1T6T9PtT8E,,,Goodgame,500,1,20
https://youtu.be/5dNzRnfjTEk,,,Youtube,101,1,4
https://youtu.be/xeaLWCkyYPw,,,Youtube,250,1,10
https://youtu.be/g1P_1Dja9LE,,,Youtube,1000,1,40
https://youtu.be/e4deJgjFPYc,,,Goodgame,150,1,6
https://youtu.be/A1rZ5_oxtuM, с 7:20 до 11:20 со скоростью 1.5,,Goodgame,105,1,4
https://youtu.be/N-bRM1kYuNA,0:09:52,,Youtube,100,1,4
https://youtu.be/B9gAkBhTMtQ,,,Goodgame,100,1,4
https://youtu.be/Yf3swtQTzGs,,,Youtube,100,1,4
https://youtu.be/TDbH1UWAygg,,,Goodgame,100,1,4
https://youtu.be/PkT0PJwy8mI,,,Youtube,100,1,4
https://youtu.be/kxqDwN0ChqA,,,Youtube,100,1,4
https://youtu.be/h1nVzjm-Wcc,,,Youtube,100,1,4
https://youtu.be/2HuQ-hX-mI0,С 3:00 мин,,Youtube,150,1,6
https://youtu.be/toydsd03wTM,,,Goodgame,100,1,4
https://youtu.be/nnE9sBSb4Dk,,,Youtube,300,1,12
https://youtu.be/Jd9fsI9oJGk,,,Youtube,100,1,4
https://youtu.be/hQBxC2t-YXk,до 3:58,,Youtube,100,1,4
https://youtu.be/iWlxpfG4lzU,,,Goodgame,100,1,4
https://youtu.be/BpgXJVdDhyE,,,Youtube,300,1,12
https://youtu.be/Z7un7WXzcQg,,,Youtube,225,1,9
https://youtu.be/-x_5ZcC3jnk,,,Goodgame,100,1,4
https://youtu.be/a9lKrwuZ668,,,Goodgame,125,1,5
https://youtu.be/bjdddNqN3ng,,,Youtube,450,1,18
https://youtu.be/fNN-61Z2QJ4,,,Youtube,400,1,16
https://youtu.be/X_8Nh5XfRw0,,,Goodgame,150,1,6
https://youtu.be/isIj3tuQTDY,,,Goodgame,100,1,4
https://youtu.be/emVK0YhobDo,,,Goodgame,333,1,13
https://youtu.be/iDl3vcl3rBU,,,Youtube,500,1,20
https://youtu.be/OZqh8uHLrPU,,,Youtube,1100,1,44
https://youtu.be/DM_OWuIvPeo,,,Goodgame,100,1,4
https://youtu.be/a-_6g5xnatY,,,Youtube,150,1,6
https://youtu.be/u4XsdS5cRpA,,,Goodgame,250,1,10
https://youtu.be/avZR-7agVwk,,,Youtube,200,1,8
https://youtu.be/0YRsdDNYa2Q,,,Youtube,400,1,16
https://youtu.be/fjyJbx1atF0,,,Youtube,100,1,4
https://youtu.be/9dwI1y7UaAc,,,Youtube,250,1,10
https://youtu.be/lrOi2870QwY,,,Youtube,200,1,8
https://youtu.be/0SERTm9dixk,,,Youtube,125,1,5
https://youtu.be/Dfpltqr6X4E,,,Youtube,100,1,4
https://youtu.be/y79CUZ7zNMw,,,Goodgame,400,1,16
https://youtu.be/yKC3ljslrHs,,,Goodgame,100,1,4
https://youtu.be/EdH1d1UMKPE,,,Goodgame,100,1,4
https://youtu.be/VfmWc1Zci4I,,,Youtube,1275,1,51
https://youtu.be/7tlFLDXvYJU?list=RD7tlFLDXvYJU,,,Goodgame,400,1,16
https://youtu.be/D26q7b1IJLU,,,Youtube,100,1,4
https://youtu.be/NxzV5bJRbRI,,,Youtube,100,1,4
https://youtu.be/8YmLWnQGZhQ,,,Youtube,100,1,4
,,,Goodgame,,1,не найдена сумма доната
,,,Goodgame,,1,не найдена сумма доната
,,,Youtube,,1,не найдена сумма доната
,,,Youtube,,1,не найдена сумма доната
,,,Youtube,,1,не найдена сумма доната
,,,Youtube,,1,не найдена сумма доната
,,,Youtube,,1,не найдена сумма доната
,,,Youtube,,1,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
https://www.youtube.com/watch?v=B2C-SwUrQB4,,,,122,,9
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
,,,,,,не найдена сумма доната
